

-----------Listening ...


TIMEOUT. Code written
Listing

Point 0: Time- 8, Logic Time+- 1
Point 24: Time- 0, Logic Time+- 0
Point 25: Time- 0, Logic Time+- 0
Point 26: Time- 0, Logic Time+- 0
Point 27: Time- 0, Logic Time+- 0
Point 28: Time- 0, Logic Time+- 0

-----------Listening ...


TIMEOUT. Code written
Listing

Point 0: Time- 0, Logic Time+- 0
Point 1: Time- 965, Logic Time+- 1
Point 2: Time- 1714, Logic Time+- 0
Point 3: Time- 2684, Logic Time+- 1
Point 4: Time- 3433, Logic Time+- 0
Point 5: Time- 5263, Logic Time+- 1
Point 6: Time- 6012, Logic Time+- 0
Point 7: Time- 6982, Logic Time+- 1
Point 8: Time- 7731, Logic Time+- 0
Point 9: Time- 8701, Logic Time+- 1
Point 10: Time- 9450, Logic Time+- 0
Point 11: Time- 10420, Logic Time+- 1
Point 12: Time- 11169, Logic Time+- 0
Point 13: Time- 12139, Logic Time+- 1
Point 14: Time- 12888, Logic Time+- 0
Point 15: Time- 13858, Logic Time+- 1
Point 16: Time- 15467, Logic Time+- 0
Point 17: Time- 17297, Logic Time+- 1
Point 18: Time- 18045, Logic Time+- 0
Point 19: Time- 19015, Logic Time+- 1
Point 20: Time- 19764, Logic Time+- 0
Point 21: Time- 20735, Logic Time+- 1
Point 22: Time- 21483, Logic Time+- 0
Point 23: Time- 22453, Logic Time+- 1
Point 24: Time- 0, Logic Time+- 0
Point 25: Time- 0, Logic Time+- 0
Point 26: Time- 0, Logic Time+- 0
Point 27: Time- 0, Logic Time+- 0
Point 28: Time- 0, Logic Time+- 0

-----------Listening ...


TIMEOUT. Code written
Listing

Point 0: Time- 7, Logic Time+- 1
Point 1: Time- 965, Logic Time+- 1
Point 2: Time- 1714, Logic Time+- 0
Point 3: Time- 2684, Logic Time+- 1
Point 4: Time- 3433, Logic Time+- 0
Point 5: Time- 5263, Logic Time+- 1
Point 6: Time- 6012, Logic Time+- 0
Point 7: Time- 6982, Logic Time+- 1
Point 8: Time- 7731, Logic Time+- 0
Point 9: Time- 8701, Logic Time+- 1
Point 10: Time- 9450, Logic Time+- 0
Point 11: Time- 10420, Logic Time+- 1
Point 12: Time- 11169, Logic Time+- 0
Point 13: Time- 12139, Logic Time+- 1
Point 14: Time- 12888, Logic Time+- 0
Point 15: Time- 13858, Logic Time+- 1
Point 16: Time- 15467, Logic Time+- 0
Point 17: Time- 17297, Logic Time+- 1
Point 18: Time- 18045, Logic Time+- 0
Point 19: Time- 19015, Logic Time+- 1
Point 20: Time- 19764, Logic Time+- 0
Point 21: Time- 20735, Logic Time+- 1
Point 22: Time- 21483, Logic Time+- 0
Point 23: Time- 22453, Logic Time+- 1
Point 24: Time- 0, Logic Time+- 0
Point 25: Time- 0, Logic Time+- 0
Point 26: Time- 0, Logic Time+- 0
Point 27: Time- 0, Logic Time+- 0
Point 28: Time- 0, Logic Time+- 0

-----------Listening ...


TIMEOUT. Code written
Listing

Point 0: Time- 0, Logic Time+- 0
Point 1: Time- 965, Logic Time+- 1
Point 2: Time- 1715, Logic Time+- 0
Point 3: Time- 3544, Logic Time+- 1
Point 4: Time- 4293, Logic Time+- 0
Point 5: Time- 5263, Logic Time+- 1
Point 6: Time- 6012, Logic Time+- 0
Point 7: Time- 6982, Logic Time+- 1
Point 8: Time- 7731, Logic Time+- 0
Point 9: Time- 8701, Logic Time+- 1
Point 10: Time- 9450, Logic Time+- 0
Point 11: Time- 10420, Logic Time+- 1
Point 12: Time- 11169, Logic Time+- 0
Point 13: Time- 12139, Logic Time+- 1
Point 14: Time- 13748, Logic Time+- 0
Point 15: Time- 15577, Logic Time+- 1
Point 16: Time- 16326, Logic Time+- 0
Point 17: Time- 17296, Logic Time+- 1
Point 18: Time- 18045, Logic Time+- 0
Point 19: Time- 19015, Logic Time+- 1
Point 20: Time- 19764, Logic Time+- 0
Point 21: Time- 20734, Logic Time+- 1
Point 22: Time- 21483, Logic Time+- 0
Point 23: Time- 22453, Logic Time+- 1
Point 24: Time- 0, Logic Time+- 0
Point 25: Time- 0, Logic Time+- 0
Point 26: Time- 0, Logic Time+- 0
Point 27: Time- 0, Logic Time+- 0
Point 28: Time- 0, Logic Time+- 0

-----------Listening ...


TIMEOUT. Code written
Listing

Point 0: Time- 7, Logic Time+- 1
Point 1: Time- 965, Logic Time+- 1
Point 2: Time- 1715, Logic Time+- 0
Point 3: Time- 3544, Logic Time+- 1
Point 4: Time- 4293, Logic Time+- 0
Point 5: Time- 5263, Logic Time+- 1
Point 6: Time- 6012, Logic Time+- 0
Point 7: Time- 6982, Logic Time+- 1
Point 8: Time- 7731, Logic Time+- 0
Point 9: Time- 8701, Logic Time+- 1
Point 10: Time- 9450, Logic Time+- 0
Point 11: Time- 10420, Logic Time+- 1
Point 12: Time- 11169, Logic Time+- 0
Point 13: Time- 12139, Logic Time+- 1
Point 14: Time- 13748, Logic Time+- 0
Point 15: Time- 15577, Logic Time+- 1
Point 16: Time- 16326, Logic Time+- 0
Point 17: Time- 17296, Logic Time+- 1
Point 18: Time- 18045, Logic Time+- 0
Point 19: Time- 19015, Logic Time+- 1
Point 20: Time- 19764, Logic Time+- 0
Point 21: Time- 20734, Logic Time+- 1
Point 22: Time- 21483, Logic Time+- 0
Point 23: Time- 22453, Logic Time+- 1
Point 24: Time- 0, Logic Time+- 0
Point 25: Time- 0, Logic Time+- 0
Point 26: Time- 0, Logic Time+- 0
Point 27: Time- 0, Logic Time+- 0
Point 28: Time- 0, Logic Time+- 0

-----------Listening ...


TIMEOUT. Code written
Listing

Point 0: Time- 7, Logic Time+- 1
Point 1: Time- 965, Logic Time+- 1
Point 2: Time- 1715, Logic Time+- 0
Point 3: Time- 3544, Logic Time+- 1
Point 4: Time- 4293, Logic Time+- 0
Point 5: Time- 5263, Logic Time+- 1
Point 6: Time- 6012, Logic Time+- 0
Point 7: Time- 6982, Logic Time+- 1
Point 8: Time- 7731, Logic Time+- 0
Point 9: Time- 8701, Logic Time+- 1
Point 10: Time- 9450, Logic Time+- 0
Point 11: Time- 10420, Logic Time+- 1
Point 12: Time- 11169, Logic Time+- 0
Point 13: Time- 12139, Logic Time+- 1
Point 14: Time- 13748, Logic Time+- 0
Point 15: Time- 15577, Logic Time+- 1
Point 16: Time- 16326, Logic Time+- 0
Point 17: Time- 17296, Logic Time+- 1
Point 18: Time- 18045, Logic Time+- 0
Point 19: Time- 19015, Logic Time+- 1
Point 20: Time- 19764, Logic Time+- 0
Point 21: Time- 20734, Logic Time+- 1
Point 22: Time- 21483, Logic Time+- 0
Point 23: Time- 22453, Logic Time+- 1
Point 24: Time- 0, Logic Time+- 0
Point 25: Time- 0, Logic Time+- 0
Point 26: Time- 0, Logic Time+- 0
Point 27: Time- 0, Logic Time+- 0
Point 28: Time- 0, Logic Time+- 0

-----------Listening ...


TIMEOUT. Code written
Listing

Point 0: Time- 0, Logic Time+- 0
Point 1: Time- 963, Logic Time+- 1
Point 2: Time- 1714, Logic Time+- 0
Point 3: Time- 2655, Logic Time+- 1
Point 4: Time- 3432, Logic Time+- 0
Point 5: Time- 5232, Logic Time+- 1
Point 6: Time- 6010, Logic Time+- 0
Point 7: Time- 6977, Logic Time+- 1
Point 8: Time- 7729, Logic Time+- 0
Point 9: Time- 8695, Logic Time+- 1
Point 10: Time- 9447, Logic Time+- 0
Point 11: Time- 10388, Logic Time+- 1
Point 12: Time- 11166, Logic Time+- 0
Point 13: Time- 12107, Logic Time+- 1
Point 14: Time- 13744, Logic Time+- 0
Point 15: Time- 15543, Logic Time+- 1
Point 16: Time- 16321, Logic Time+- 0
Point 17: Time- 17288, Logic Time+- 1
Point 18: Time- 18040, Logic Time+- 0
Point 19: Time- 18981, Logic Time+- 1
Point 20: Time- 19758, Logic Time+- 0
Point 21: Time- 20725, Logic Time+- 1
Point 22: Time- 22337, Logic Time+- 0
Point 23: Time- 23303, Logic Time+- 1
Point 24: Time- 0, Logic Time+- 0
Point 25: Time- 0, Logic Time+- 0
Point 26: Time- 0, Logic Time+- 0
Point 27: Time- 0, Logic Time+- 0
Point 28: Time- 0, Logic Time+- 0
